source_id,curated_view,source_view_name,source_domain,grain,fields,field_types,cadence,classification,phi_sensitivity,dashboard_usage,validation_rules,future_mapping_placeholder
SRC_SYNTH_LAB_RESULTS,CANONICAL.VW_SYNTH_LAB_RESULTS,VW_SYNTH_LAB_RESULTS,orders / results / clinical process,result aggregate,"result_group_id, site_id, unit_or_program, result_category, collection_ts, result_ts, turnaround_minutes","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_011
SRC_SYNTH_IMAGING_ORDERS,CANONICAL.VW_SYNTH_IMAGING_ORDERS,VW_SYNTH_IMAGING_ORDERS,orders / results / clinical process,order aggregate,"order_group_id, site_id, unit_or_program, order_category, order_status, order_ts, result_or_complete_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_012
SRC_SYNTH_MEDICATION_ORDERS,CANONICAL.VW_SYNTH_MEDICATION_ORDERS,VW_SYNTH_MEDICATION_ORDERS,orders / results / clinical process,order aggregate,"order_group_id, site_id, unit_or_program, order_category, order_status, order_ts, result_or_complete_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_013
SRC_SYNTH_MAR_ADMINISTRATION,CANONICAL.VW_SYNTH_MAR_ADMINISTRATION,VW_SYNTH_MAR_ADMINISTRATION,orders / results / clinical process,administration aggregate,"admin_group_id, med_class_group, due_ts, administration_status, delay_minutes","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_014
SRC_SYNTH_RESPIRATORY_SUPPORT,CANONICAL.VW_SYNTH_RESPIRATORY_SUPPORT,VW_SYNTH_RESPIRATORY_SUPPORT,orders / results / clinical process,unit-shift aggregate,"site_id, unit_id, support_level_group, count, escalation_count, shift_start_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_015
SRC_SYNTH_VITAL_SIGNS_AGG,CANONICAL.VW_SYNTH_VITAL_SIGNS_AGG,VW_SYNTH_VITAL_SIGNS_AGG,orders / results / clinical process,unit-hour aggregate,"site_id, unit_id, hour_ts, observation_count, abnormal_band_count, completeness_pct","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_016
SRC_SYNTH_CLINICAL_SCORES,CANONICAL.VW_SYNTH_CLINICAL_SCORES,VW_SYNTH_CLINICAL_SCORES,orders / results / clinical process,unit-day aggregate,"site_id, unit_id, score_family, score_band, count, reviewed_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_017
SRC_SYNTH_SEPSIS_SCREENING,CANONICAL.VW_SYNTH_SEPSIS_SCREENING,VW_SYNTH_SEPSIS_SCREENING,orders / results / clinical process,screen-day aggregate,"site_id, unit_id, screen_status, positive_screen_count, review_status, small_cell_suppressed","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_018
SRC_SYNTH_ALERT_EVENTS,CANONICAL.VW_SYNTH_ALERT_EVENTS,VW_SYNTH_ALERT_EVENTS,orders / results / clinical process,alert event aggregate,"alert_id, alert_family, unit_or_program, alert_ts, severity, acknowledgement_status","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_019
SRC_SYNTH_CARE_PLAN_MILESTONES,CANONICAL.VW_SYNTH_CARE_PLAN_MILESTONES,VW_SYNTH_CARE_PLAN_MILESTONES,orders / results / clinical process,milestone aggregate,"milestone_id, unit_or_program, milestone_type, due_ts, completed_ts, status","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_020
SRC_SYNTH_DISCHARGE_MILESTONES,CANONICAL.VW_SYNTH_DISCHARGE_MILESTONES,VW_SYNTH_DISCHARGE_MILESTONES,discharge,discharge milestone aggregate,"encounter_id, milestone_type, milestone_ts, barrier_category, expected_discharge_band","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_021
SRC_SYNTH_DISCHARGE_BARRIERS,CANONICAL.VW_SYNTH_DISCHARGE_BARRIERS,VW_SYNTH_DISCHARGE_BARRIERS,discharge,discharge milestone aggregate,"encounter_id, milestone_type, milestone_ts, barrier_category, expected_discharge_band","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_022
SRC_SYNTH_PHARMACY_DISCHARGE_MED_STATUS,CANONICAL.VW_SYNTH_PHARMACY_DISCHARGE_MED_STATUS,VW_SYNTH_PHARMACY_DISCHARGE_MED_STATUS,discharge,discharge milestone aggregate,"encounter_id, milestone_type, milestone_ts, barrier_category, expected_discharge_band","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_023
SRC_SYNTH_HOME_SUPPORT_STATUS,CANONICAL.VW_SYNTH_HOME_SUPPORT_STATUS,VW_SYNTH_HOME_SUPPORT_STATUS,discharge,home-support aggregate,"site_id, program, request_status, pending_count, median_age_hours","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_024
SRC_SYNTH_EQUIPMENT_STATUS,CANONICAL.VW_SYNTH_EQUIPMENT_STATUS,VW_SYNTH_EQUIPMENT_STATUS,discharge,equipment readiness aggregate,"site_id, program, equipment_group, readiness_status, pending_count","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_025
SRC_SYNTH_TRANSPORT_STATUS,CANONICAL.VW_SYNTH_TRANSPORT_STATUS,VW_SYNTH_TRANSPORT_STATUS,discharge,transport readiness aggregate,"site_id, unit_or_program, transport_status, pending_count, median_age_hours","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_026
SRC_SYNTH_FAMILY_READINESS_PROXY,CANONICAL.VW_SYNTH_FAMILY_READINESS_PROXY,VW_SYNTH_FAMILY_READINESS_PROXY,discharge,readiness proxy aggregate,"site_id, unit_or_program, readiness_band, count, caveat","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, predicted discharge capacity, barrier ageing, why-this-changed panels","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_027
SRC_SYNTH_OR_CASES,CANONICAL.VW_SYNTH_OR_CASES,VW_SYNTH_OR_CASES,procedural,case-day aggregate,"case_id, site_id, procedure_group, scheduled_start_ts, case_status, post_op_bed_need","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily plus intra-day updates,direct_operational_signal,medium aggregate,"OR/PACU pressure, post-op bed demand, cancellation risk, smoothing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_028
SRC_SYNTH_PACU_EVENTS,CANONICAL.VW_SYNTH_PACU_EVENTS,VW_SYNTH_PACU_EVENTS,procedural,PACU event aggregate,"case_id, site_id, pacu_arrival_ts, pacu_ready_ts, hold_minutes, bed_need","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily plus intra-day updates,direct_operational_signal,medium aggregate,"OR/PACU pressure, post-op bed demand, cancellation risk, smoothing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_029
SRC_SYNTH_PROCEDURE_SCHEDULE,CANONICAL.VW_SYNTH_PROCEDURE_SCHEDULE,VW_SYNTH_PROCEDURE_SCHEDULE,procedural,procedure schedule aggregate,"case_id, procedure_group, scheduled_date, status, cancellation_reason_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily plus intra-day updates,direct_operational_signal,medium aggregate,"OR/PACU pressure, post-op bed demand, cancellation risk, smoothing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_030
SRC_SYNTH_PROCEDURE_CANCELLATIONS,CANONICAL.VW_SYNTH_PROCEDURE_CANCELLATIONS,VW_SYNTH_PROCEDURE_CANCELLATIONS,procedural,procedure schedule aggregate,"case_id, procedure_group, scheduled_date, status, cancellation_reason_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily plus intra-day updates,direct_operational_signal,medium aggregate,"OR/PACU pressure, post-op bed demand, cancellation risk, smoothing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_031
SRC_SYNTH_POST_OP_BED_DEMAND,CANONICAL.VW_SYNTH_POST_OP_BED_DEMAND,VW_SYNTH_POST_OP_BED_DEMAND,procedural,curated aggregate,"record_id, site_id, unit_or_program, event_ts, status, metric_value, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily plus intra-day updates,direct_operational_signal,medium aggregate,"OR/PACU pressure, post-op bed demand, cancellation risk, smoothing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_032
SRC_SYNTH_REFERRALS,CANONICAL.VW_SYNTH_REFERRALS,VW_SYNTH_REFERRALS,ambulatory,referral aggregate,"referral_id, site_id, program, priority, received_ts, triage_status, completeness_pct","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_033
SRC_SYNTH_REFERRAL_TRIAGE,CANONICAL.VW_SYNTH_REFERRAL_TRIAGE,VW_SYNTH_REFERRAL_TRIAGE,ambulatory,referral aggregate,"referral_id, site_id, program, priority, received_ts, triage_status, completeness_pct","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_034
SRC_SYNTH_WAITLIST_SNAPSHOTS,CANONICAL.VW_SYNTH_WAITLIST_SNAPSHOTS,VW_SYNTH_WAITLIST_SNAPSHOTS,ambulatory,program-week,"site_id, program, week_start, waitlist_total, over_target_count, median_wait_days, p90_wait_days","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_035
SRC_SYNTH_APPOINTMENTS,CANONICAL.VW_SYNTH_APPOINTMENTS,VW_SYNTH_APPOINTMENTS,ambulatory,appointment aggregate,"appointment_id, site_id, program, appointment_ts, status, appointment_type, completed_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_036
SRC_SYNTH_CLINIC_SLOTS,CANONICAL.VW_SYNTH_CLINIC_SLOTS,VW_SYNTH_CLINIC_SLOTS,ambulatory,clinic-template aggregate,"site_id, program, template_date, slots_available, protected_urgent_slots, provider_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_037
SRC_SYNTH_CLINIC_TEMPLATES,CANONICAL.VW_SYNTH_CLINIC_TEMPLATES,VW_SYNTH_CLINIC_TEMPLATES,ambulatory,clinic-template aggregate,"site_id, program, template_date, slots_available, protected_urgent_slots, provider_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_038
SRC_SYNTH_PROVIDER_AVAILABILITY,CANONICAL.VW_SYNTH_PROVIDER_AVAILABILITY,VW_SYNTH_PROVIDER_AVAILABILITY,ambulatory,provider group availability,"site_id, program, provider_group, available_sessions, constrained_sessions, week_start","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_039
SRC_SYNTH_NO_SHOW_LATE_CANCEL,CANONICAL.VW_SYNTH_NO_SHOW_LATE_CANCEL,VW_SYNTH_NO_SHOW_LATE_CANCEL,ambulatory,appointment reliability aggregate,"site_id, program, appointment_type, no_show_count, late_cancel_count, completed_count","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_040
SRC_SYNTH_OVERDUE_FOLLOWUP,CANONICAL.VW_SYNTH_OVERDUE_FOLLOWUP,VW_SYNTH_OVERDUE_FOLLOWUP,ambulatory,follow-up aggregate,"site_id, program, overdue_count, median_overdue_days, priority_band","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_041
SRC_SYNTH_DIAGNOSTIC_READINESS,CANONICAL.VW_SYNTH_DIAGNOSTIC_READINESS,VW_SYNTH_DIAGNOSTIC_READINESS,ambulatory,diagnostic readiness aggregate,"site_id, program, dependency_group, ready_count, missing_prerequisite_count, readiness_pct","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_042
SRC_SYNTH_VIRTUAL_CARE_SUITABILITY,CANONICAL.VW_SYNTH_VIRTUAL_CARE_SUITABILITY,VW_SYNTH_VIRTUAL_CARE_SUITABILITY,ambulatory,virtual suitability aggregate,"site_id, program, visit_type, suitable_count, converted_count, caveat","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_043
SRC_SYNTH_OUTREACH_CLINIC_CAPACITY,CANONICAL.VW_SYNTH_OUTREACH_CLINIC_CAPACITY,VW_SYNTH_OUTREACH_CLINIC_CAPACITY,ambulatory,clinic-template aggregate,"site_id, program, template_date, slots_available, protected_urgent_slots, provider_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",daily to weekly,direct_operational_signal,high aggregate only,"referral demand, triage, waitlists, access, no-show reliability, diagnostics, virtual/outreach capacity","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_044
SRC_SYNTH_STAFFING_ROSTER,CANONICAL.VW_SYNTH_STAFFING_ROSTER,VW_SYNTH_STAFFING_ROSTER,staffing / workload,unit-shift staffing aggregate,"site_id, unit_id, shift_start_ts, required_hours, scheduled_hours, skill_mix_group","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",shift to daily,direct_operational_signal,staff aggregate,"effective staffed beds, skill-mix constraint, workload pressure, surge staffing scenarios","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_045
